Index No.,구분,검색어,유의어
Tit_R_322,곡명,G.G.B,"G.G.B,GGB,지지비,쥐쥐비"
Nam_R_114,아티스트명,Galantis,"Galantis,갈란티스"
Tit_R_323,곡명,galaxy,"galaxy,갤럭시"
Tit_K_248,곡명,Gallery,"Gallery,갤러리"
Tit_K_249,곡명,GAMBLER,"GAMBLER,갬블러"
Tit_K_250,곡명,Gang,"Gang,갱"
tag_K_97,태그명,Gari,"Gari,가리"
Tit_K_251,곡명,Gas,"Gas,가스"
Nam_R_115,아티스트명,GASHI,"GASHI,가시"
Nam_R_116,아티스트명,Gavin James,"Gavin James,GavinJames,개빈 제임스,개빈제임스"
Nam_K_66,아티스트명,GD,"GD,지디,지드레곤"
Nam_R_117,아티스트명,G-DRAGON,"G-DRAGON,GDRAGON,지드래곤,GD,지디"
Nam_K_67,아티스트명,G-Eazy,"G-Eazy,Geazy,지이지,지 이지"
Tit_K_252,곡명,Generation,"Generation,제너레이션"
Tit_R_324,곡명,Genie,"Genie,지니"
Tit_R_325,곡명,genius,"genius,지니어스"
Nam_K_68,아티스트명,Georgia Ku,"Georgia Ku,GeorgiaKu,조지아 구,조지아구"
Tit_K_253,곡명,Getting,"Getting,게팅"
Tit_R_326,곡명,Ghost,"Ghost,고스트"
Tit_K_254,곡명,Giant,"Giant,자이언트"
Tit_R_327,곡명,giddy,"giddy,기디"
Tit_K_255,곡명,GIFT,"GIFT,기프트"
Tit_R_328,곡명,girl,"girl,걸"
Tit_R_329,곡명,Girlfriend,"Girlfriend,걸프렌드"
Tit_R_330,곡명,Girls,"Girls,걸스"
Tit_R_331,곡명,given,"given,기븐"
Nam_R_118,아티스트명,Giveon,"Giveon,기브온"
Tit_K_256,곡명,GLASSY,"GLASSY,글래시"
Tit_R_332,곡명,glitch,"glitch,글리치"
Tit_K_257,곡명,Glitter,"Glitter,글리터"
Tit_K_258,곡명,Gloomy,"Gloomy,글루미"
Tit_R_334,곡명,Gloria,"Gloria,글로리아"
Tit_K_259,곡명,Glow,"Glow,글로우"
Nam_R_119,아티스트명,GLOWCEAN,"GLOWCEAN,글로우션"
Tit_R_335,곡명,GO,"GO,고"
Tit_R_336,곡명,goat,"goat,고트"
Tit_R_337,곡명,god,"god,갓"
Tit_R_338,곡명,goes,"goes,고즈"
Tit_R_339,곡명,gold,"gold,골드"
Tit_K_260,곡명,Golden ,"Golden,골든"
Tit_R_341,곡명,Gone,"Gone,곤"
Tit_R_342,곡명,Good,"Good,굿,굳"
Nam_K_69,아티스트명,Goodboys,"Goodboys,Good Boys,굿보이즈,굿 보이즈"
Tit_R_343,곡명,Goodbye,"Goodbye,굿바이"
Tit_K_261,곡명,Good-bye,"Good-bye,goodbye,굿바이"
tag_K_98,태그명,GooseBumps,"GooseBumps,구스범스"
Tit_R_344,곡명,GORILLA,"GORILLA,고릴라"
Tit_K_262,곡명,Got,"Got,갓"
tag_K_99,태그명,GOT U,"GOT U,GOTU,갓 츄,갓츄"
Nam_R_120,아티스트명,GOT7,"GOT7,갓세븐"
Tit_R_345,곡명,GOTCHA,"GOTCHA,갓차,가챠,갓챠"
Tit_R_346,곡명,GOTTA,"GOTTA,가타"
Tit_K_263,곡명,GOT'YA,"GOT'YA,GOTYA,갓챠"
Tit_R_347,곡명,Grace,"Grace,그레이스"
Nam_K_70,아티스트명,Gracie Abrams,"Gracie Abrams,GracieAbrams,그레이시 에이브럼스,그레이시에이브럼스"
Tit_K_264,곡명,Graduation,"Graduation,그래듀에이션"
tag_K_100,태그명,GRASS,"GRASS,그래쓰"
Tit_K_265,곡명,Graveyard,"Graveyard,그레이브야드"
Tit_R_348,곡명,GRAVITY,"GRAVITY,그래비티,그레비티"
Tit_R_349,곡명,greatest,"greatest,그레이티스트"
tag_K_101,태그명,GreatGuys,"GreatGuys,멋진녀석들"
Tit_R_350,곡명,Greedyy,"Greedyy,그리디"
tag_K_102,태그명,greegura,"greegura,그리구라"
Nam_R_121,아티스트명,Green Day,"Green Day,GreenDay,그린 데이,그린데이"
tag_K_103,태그명,G-reyish,"G-reyish,Greyish,그레이시"
Nam_R_122,아티스트명,Greyson Chance,"Greyson Chance,GreysonChance,그레이슨 챈스,그레이슨챈스"
Nam_K_71,아티스트명,Griff,"Griff,그리프"
tag_K_104,태그명,Grizzly,"Grizzly,그리즐리"
Nam_R_123,아티스트명,Gromee,"Gromee,그로미"
Tit_K_266,곡명,Groove,"Groove,그루브"
Tit_R_351,곡명,Ground,"Ground,그라운드"
Nam_K_72,아티스트명,Gryffin,"Gryffin,그리핀"
Nam_R_124,아티스트명,Guaynaa,"Guaynaa,구아이나"
Tit_R_352,곡명,Gucci,"Gucci,구찌"
Tit_K_267,곡명,GUESS,"GUESS,게스"
Tit_R_353,곡명,guidance,"guidance,가이던스"
Tit_K_268,곡명,Guitar,"Guitar,기타"
Tit_K_269,곡명,Gum,"Gum,검"
Tit_R_354,곡명,GUNSHOT,"GUNSHOT,건샷"
Tit_R_355,곡명,Guy,"Guy,가이"
Tit_K_270,곡명,Guys,"Guys,가이스"
Nam_K_73,아티스트명,Gwen Stefani,"Gwen Stefani,GwenStefani,그웬 스테파니,그웬스테파니"
tag_K_105,태그명,GYE0M,"GYE0M,겸"
Nam_R_125,아티스트명,H.E.R.,"H.E.R.,HER,헐,허"
tag_K_106,태그명,H1GHRMUSIC,"H1GHRMUSIC,하이어뮤직"
Tit_K_271,곡명,Habit,"Habit,해빗"
Tit_R_356,곡명,habits,"habits,해빗츠"
Tit_K_272,곡명,Habitual,"Habitual,해비추얼,해비츄얼"
tag_K_107,태그명,HAECHAN,"HAECHAN,해찬,NCT 127,NCT127,엔씨티 127,엔씨티127,NCT"
Tit_K_273,곡명,HAHAHOHO,"HAHAHOHO,하하호호"
tag_K_108,태그명,HAJIN,"HAJIN,하진"
Tit_K_274,곡명,Hallelujah,"Hallelujah,할렐루야"
Tit_R_357,곡명,Hallucinate,"Hallucinate,할루시네이트"
Nam_K_75,아티스트명,Hallucy,"Hallucy,할루시"
Nam_K_76,아티스트명,Halsey,"Halsey,할시"
Tit_K_275,곡명,Hands,"Hands,핸즈"
Nam_K_77,아티스트명,Hans Zimmer,"Hans Zimmer,HansZimmer,한스짐머,한스 짐머"
Tit_R_358,곡명,HAPPENING,"HAPPENING,해프닝,헤프닝"
Tit_R_359,곡명,Happiness,"Happiness,해피니스,해피네스"
Tit_R_360,곡명,Happy,"Happy,해피"
Tit_K_276,곡명,Harder,"Harder,하더"
Tit_K_277,곡명,Hardest,"Hardest,하디스트"
Tit_K_278,곡명,Harleys,"Harleys,할리스"
Nam_R_126,아티스트명,Harry Styles,"Harry Styles,HarryStyles,해리 스타일스,해리스타일스"
Tit_R_361,곡명,Hate,"Hate,헤이트"
Tit_K_279,곡명,Have,"Have,해브"
Tit_R_362,곡명,Hawái,"Hawái,하와이"
Tit_R_363,곡명,Hawaian,"Hawaian,하와이안"
Tit_K_280,곡명,Hawaii,"Hawaii,하와이"
tag_K_109,태그명,Heachi,"Heachi,해치"
Tit_R_364,곡명,head,"head,헤드"
Tit_R_365,곡명,Headache,"Headache,헤드에이크,헤드애이크,해드에이크,해드애이크"
Tit_K_281,곡명,HEADLINE,"HEADLINE,헤드라인"
Tit_R_366,곡명,heal,"heal,힐"
Tit_K_282,곡명,Healthy,"Healthy,헬시,헬씨"
Nam_R_127,아티스트명,Healy,"Healy,힐리"
Tit_K_283,곡명,Hear,"Hear,히어"
Tit_R_367,곡명,heart,"heart,하트"
Tit_K_284,곡명,Heartbeat,"Heartbeat,하트비트"
Tit_R_368,곡명,Heartbreak,"Heartbreak,하트브레이크"
Tit_K_285,곡명,HEAT,"HEAT,히트"
Tit_K_286,곡명,Heather,"Heather,헤더"
Tit_R_369,곡명,heaven,"heaven,헤븐"
Tit_K_287,곡명,Heavy,"Heavy,해비"
Tit_K_288,곡명,Hedwig,"Hedwig,헤드위그"
Tit_R_370,곡명,HELICOPTER,"HELICOPTER,헬리콥터,헬리콥타"
Tit_R_371,곡명,hell,"hell,헬"
Tit_R_372,곡명,Hello,"Hello,헬로"
tag_K_110,태그명,HELLOVENUS,"HELLOVENUS,헬로비너스"
Tit_K_289,곡명,HELP,"HELP,헬프"
Tit_R_373,곡명,her,"her,허,헐"
Tit_R_374,곡명,HERO,"HERO,히어로"
Tit_R_375,곡명,Heroes,"Heroes,히어로즈,히어로스"
Tit_R_376,곡명,hey,"hey,헤이"
Tit_R_377,곡명,hi,"hi,하이"
Tit_K_290,곡명,Hi*DRAULIC5,"HiDRAULIC5,하이드롤릭파이브,하이드롤릭5"
Tit_K_291,곡명,hiccup,"hiccup,히컵"
Tit_R_378,곡명,high,"high,하이"
tag_K_111,태그명,HIGH4,"HIGH4,하이포"
Tit_K_292,곡명,Highball,"Highball,하이볼"
Tit_R_379,곡명,Higher,"Higher,하이어"
tag_K_112,태그명,Hi-L,"Hi-L,HiL,하이 엘,하이엘"
Tit_R_380,곡명,HIP,"HIP,힙"
tag_K_113,태그명,hiphop,"hiphop,힙합"
Tit_K_293,곡명,Hips,"Hips,힙스"
Nam_K_78,아티스트명,Hisaishi Joe,"Hisaishi Joe,HisaishiJoe,히사이시 조,이사이시조"
Tit_K_294,곡명,Hitchhiker,"Hitchhiker,히치하이커"
Tit_K_295,곡명,hitmeup,"hitmeup,힛미업"
Tit_K_296,곡명,Hocus Pocus,"Hocus Pocus,호커스포커스"
Tit_R_381,곡명,HOLA!,"HOLA!,HOLA,올라,홀라,"
Tit_K_297,곡명,Hold,"Hold,홀드"
Tit_R_382,곡명,HOLIDAY,"HOLIDAY,홀리데이,할러데이,할리데이,홀러데이"
Tit_K_298,곡명,Hollow,"Hollow,할로우"
Tit_R_383,곡명,hollywood,"hollywood,헐리우드,헐리웃,할리우드"
Tit_R_384,곡명,holy,"holy,홀리"
Tit_R_385,곡명,home,"home,홈"
Tit_R_386,곡명,HOME;RUN,"HOME;RUN,homerun,홈런"
Tit_K_299,곡명,homebody,"homebody,홈바디"
Nam_R_128,아티스트명,homezone,"homezone,홈존"
Tit_R_387,곡명,Honey,"Honey,허니,하니"
tag_K_114,태그명,HONG EUNKI,"HONG EUNKI,HONGEUNKI,홍은기"
Nam_R_129,아티스트명,HONNE,"HONNE,혼네"
tag_K_115,태그명,Hoon,"Hoon,훈"
Tit_K_300,곡명,hope,"hope,홉"
Nam_K_79,아티스트명,Hope Tala,"Hope Tala,HopeTala,호프탈라,호프 탈라"
Tit_R_388,곡명,Horizon,"Horizon,호라이즌"
Tit_R_389,곡명,hot,"hot,핫"
tag_K_116,태그명,HOT ISSUE,"HOT ISSUE,HOTISSUE,핫이슈"
Tit_R_390,곡명,hotel,"hotel,호텔"
tag_K_117,태그명,Houdini,"Houdini,후디니"
Tit_R_391,곡명,Hour,"Hour,아워"
Tit_R_392,곡명,How,"How,하우"
Tit_K_301,곡명,HOWL,"HOWL,하울"
tag_K_118,태그명,HOYA,"HOYA,호야"
Tit_R_393,곡명,HRTBRKN,"HRTBRKN,heart broken,하트 브로큰,하트브로큰"
Nam_K_80,아티스트명,HRVY,"HRVY,하비"
Tit_K_302,곡명,Hug,"Hug,허그"
Tit_K_303,곡명,Hula Hoops,"Hula Hoops,HulaHoops,훌라 훕스,훌라훕스"
Tit_R_394,곡명,Human,"Human,휴먼"
Tit_R_395,곡명,Hurt,"Hurt,허트"
Tit_K_304,곡명,Hurting,"Hurting,허팅"
Tit_R_396,곡명,HUSH,"HUSH,허쉬,허시"
tag_K_119,태그명,Hwa Sa,"Hwa Sa,HwaSa,화사"
Tit_R_397,곡명,hwaa,"hwaa,화"
Tit_R_398,곡명,Hwi hwi,"Hwi hwi,휘휘"
Tit_R_399,곡명,HYLT,"HYLT,how you like that,하우 유 라이크 댓,하우유라이크댓"
Nam_R_130,아티스트명,HYNN,"HYNN,흰"
tag_K_120,태그명,HYO,"HYO,효연"
tag_K_121,태그명,HYUK,"HYUK,혁"
Nam_K_81,아티스트명,HYUNKI,"HYUNKI,현기"
Tit_R_400,곡명,I,"I,아이"
tag_K_122,태그명,I.O.I,"I.O.I,IOI,아이오아이"
Tit_R_401,곡명,Ice,"Ice,아이스"
Tit_K_305,곡명,Ice Cream,"Ice Cream,IceCream,아이스크림"
Tit_K_306,곡명,ICE T,"ICE T,ICET,아이스 티,아이스티"
tag_K_123,태그명,ICHILLIN',"ICHILLIN',ICHILLIN,아이칠린"
Tit_K_307,곡명,ICONS,"ICONS,아이콘즈"
Tit_R_402,곡명,ICY,"ICY,아이시,아이씨"
Tit_K_308,곡명,ID,"ID,아이디"
Tit_R_403,곡명,idea,"idea,아이디어"
Nam_R_131,아티스트명,Idina Menzel,"Idina Menzel,이디나 멘젤"
Tit_R_404,곡명,IDOL,"IDOL,아이돌"
Tit_R_405,곡명,if,"if,이프"
Nam_R_132,아티스트명,iKON,"Ikon,아이콘"
Tit_R_406,곡명,i-land,"i-land,아이랜드"
tag_K_124,태그명,ILHO,"ILHO,일호,장일호"
Tit_R_407,곡명,I'll,"I'll,아일,아이윌"
Nam_K_82,아티스트명,ILLENIUM,"ILLENIUM,일레니움"
Tit_R_408,곡명,ILLUSION,"ILLUSION,일루션,일루젼"
Tit_K_309,곡명,IMAGINE,"IMAGINE,이매진"
Nam_R_133,아티스트명,Imagine Dragons,"Imagine Dragons,ImagineDragons,이매진 드래곤스,이매진드래곤스"
Nam_R_134,아티스트명,Imanbek,"Imanbek,이만벡"
Nam_R_135,아티스트명,IMLAY,"IMLAY,임레이"
Tit_K_310,곡명,Imported,"Imported,임포티드"
Tit_K_311,곡명,In,"In,인"
tag_K_125,태그명,IN THE CITY,"IN THE CITY,INTHECITY,인 더 시티,인더시티"
Tit_R_409,곡명,INCEPTION,"INCEPTION,인셉션"
Tit_K_312,곡명,Inn,"Inn,인"
Tit_R_410,곡명,INNER,"INNER,이너"
Tit_K_313,곡명,Insane,"Insane,인세인"
Tit_R_411,곡명,inside,"inside,인사이드"
Tit_R_412,곡명,Insomnia,"Insomnia,인솜니아"
Tit_K_314,곡명,Instruction,"Instruction,인스트럭션"
tag_K_126,태그명,INTEC,"INTEC,인택"
Tit_K_315,곡명,Intentions,"Intentions,인텐션스"
Tit_K_316,곡명,Interlude,"Interlude,인터루드"
Tit_R_413,곡명,into,"into,인투"
Tit_K_317,곡명,Invisible,"Invisible,인비저블"
tag_K_127,태그명,IRENE,"IRENE,아이린,레드벨벳,RedVelvet"
Tit_R_414,곡명,is,"is,이스,이즈"
Nam_R_136,아티스트명,Isaac Dunbar,"Isaac Dunbar,IsaacDunbar,아이작 던바,아이작던바"
Nam_R_137,아티스트명,ISÁK,"ISÁK,ISAK,이사크"
tag_K_128,태그명,ISÁK,"ISÁK,아이작"
tag_K_129,태그명,iScreaM,"iScreaM,아이스크림"
Tit_R_415,곡명,ISFJ,"ISFJ,MBTI"
Tit_R_416,곡명,ISFP,"ISFP,MBTI"
Tit_R_417,곡명,ISLAND,"ISLAND,아일랜드"
Tit_R_418,곡명,ISTJ,"ISTJ,MBTI"
Tit_R_419,곡명,ISTP,"ISTP,MBTI"
Tit_R_420,곡명,IT,"IT,잇"
Nam_R_138,아티스트명,It's,"It's,잇츠,이츠"
tag_K_130,태그명,ITZY_GUESSWHO,"GUESSWHO,게스후"
tag_K_131,태그명,IYAH,"IYAH,아이야"
Nam_R_139,아티스트명,izi,"izi,이지"
Nam_K_83,아티스트명,J Balvin,"J Balvin,Jbalvin,제이 발빈,제이발빈"
tag_K_132,태그명,J Rabbit,"J Rabbit,Jrabbit,제이 레빗,제이레빗"
Nam_R_140,아티스트명,J.Yung,"J.Yung,JYung,제이 영,제이영"
Nam_R_141,아티스트명,Ja Mezz,"Ja Mezz,자 메즈"
Nam_K_84,아티스트명,Jack Harlow,"Jack Harlow,JackHarlow,잭 할로우,잭할로우"
Nam_R_142,아티스트명,Jack Kays,"Jack Kays,JackKays,잭 케이스,잭케이스"
Tit_R_421,곡명,Jackie Kennedy,"Jackie Kennedy,재키 케네디,재클린 케네디"
Tit_K_318,곡명,JACKPOT,"JACKPOT,잭팟"
Nam_R_143,아티스트명,Jackson Wang,"Jackson Wang,JacksonWang,잭슨 왕,잭슨왕,잭슨"
Nam_K_85,아티스트명,Jacob Collier,"Jacob Collier,JacobCollier,제이콥 콜리어,제이콥콜리어"
tag_K_133,태그명,JAEHYUN,"JAEHYUN,재현,NCT 127,NCT127,NCT,엔씨티 127,엔씨티127"
tag_K_134,태그명,Jaira Burns,"Jaira Burns,JairaBurns,자이라 번스,자이라번스"
Tit_R_422,곡명,JAJA,"JAJA,자자"
tag_K_135,태그명,JANNABI,"JANNABI,잔나비"
Tit_R_423,곡명,JASMIN,"JASMIN,자스민"
Nam_R_144,아티스트명,Jasmine Thompson,"Jasmine Thompson,JasmineThompson,재스민 톰슨,재스민톰슨"
Nam_R_145,아티스트명,Jason Derülo,"Jason Derülo,JasonDerulo,제이슨 데룰로,제이슨데룰로"
Nam_K_86,아티스트명,Jason Mraz,"Jason Mraz,JasonMraz,제이슨 므라즈,제이슨므라즈"
Nam_R_146,아티스트명,Jawsh 685,"Jawsh 685,Jawsh685,자우쉬 685,자우쉬685"
Nam_R_147,아티스트명,Jax,"Jax,잭스"
Nam_K_87,아티스트명,Jax Jones,"Jax Jones,JaxJones,잭스존스,잭스 존스"
Nam_R_148,아티스트명,JAY B,"JAY B,JAYB,제이 비,제이비"
Nam_R_149,아티스트명,JC Stewart,"JC Stewart,JCStewart,JC 스튜어트,JC스튜어트"
tag_K_136,태그명,J-Cera,"J-Cera,JCera,제이세라"
Tit_K_319,곡명,Je T′aime,"Je T′aime,JeTaime,쥬뗌므,쥬 뗌므"
Tit_R_424,곡명,Jealous,"Jealous,젤러스"
Tit_K_320,곡명,Jealousy,"Jealousy,젤러시"
Nam_R_150,아티스트명,Jeiff,"Jeiff,제이프"
Tit_R_425,곡명,Jello,"Jello,젤로"
Tit_R_426,곡명,Jelly,"Jelly,젤리"
Tit_R_427,곡명,jenga,"jenga,젠가"
tag_K_137,태그명,JENNIE,"JENNIE,제니,블랙핑크,BLACKPINK"
tag_K_138,태그명,JENYER,"JENYER,전지윤"
tag_K_139,태그명,Jeonghyeon,"Jeonghyeon,정현"
tag_K_140,태그명,JEONWOONG,"JEONWOONG,전웅,AB6IX,에이비식스"
Nam_R_151,아티스트명,Jeremy Zucker,"Jeremy Zucker,JeremyZucker,제레미 주커,제레미주커"
Nam_K_88,아티스트명,JERO,"JERO,제로"
Nam_K_89,아티스트명,Jessie Reyez,"Jessie Reyez,JessieReyez,제시 레예스,제시레예스"
Tit_R_428,곡명,jesus,"jesus,지저스"
Nam_R_152,아티스트명,JIEON,"JIEON,지언"
Nam_R_153,아티스트명,Jimmie Allen,"Jimmie Allen,JimmieAllen,지미 알렌,지미알렌"
tag_K_141,태그명,JIN JU,"JIN JU,JINJU,진주"
Nam_R_154,아티스트명,JJ Project,"JJ Project,JJProject,JJ 프로젝트,JJ프로젝트"
Nam_R_155,아티스트명,John K,"John K,JohnK,존 케이,존케이"
Nam_R_156,아티스트명,John Legend,"John Legend,JohnLegend,존 레전드,존레전드"
Nam_R_157,아티스트명,John Mayer,"John Mayer,JohnMayer,존 메이어,존메이어"
Nam_R_158,아티스트명,John OFA Rhee,"John OFA Rhee,이요한"
tag_K_142,태그명,JOHNNY,"JOHNNY,쟈니,NCT 127,NCT127,엔씨티 127,엔씨티127,NCT"
Tit_K_321,곡명,johnny & june,"johnny & june,johnny&june,조니앤준,조니 앤 준"
Nam_K_90,아티스트명,Johnny Orlando,"Johnny Orlando,JohnnyOrlando,조니 올란도,조니올란도"
Nam_R_159,아티스트명,Johnny Stimson,"Johnny Stimson,JohnnyStimson,조니 스팀슨,조니스팀슨"
Tit_R_429,곡명,Joke,"Joke,조크"
Tit_R_430,곡명,Joker,"Joker,조커"
Nam_K_91,아티스트명,Jomie,"Jomie,조미"
Nam_K_92,아티스트명,Jonas Blue,"Jonas Blue,JonasBlue,조나스 블루,조나스블루"
Nam_R_160,아티스트명,Jonas Brothers,"Jonas Brothers,JonasBrothers,조나스 브라더스,조나스브라더스"
Nam_R_161,아티스트명,Jonas Kaufmann,"Jonas Kaufmann,JonasKaufmann,요나스 카우프만,요나스카우프만"
tag_K_143,태그명,JOO JIN-WOO,"JOO JIN-WOO,JOOJINWOO,주진우"
tag_K_144,태그명,JOOHONEY,"JOOHONEY,주헌,MONSTA X,MONSTAX,몬스타 엑스,몬스타엑스"
Nam_R_162,아티스트명,JOON,"JOON,준"
Tit_R_431,곡명,Jopping,"Jopping,쟈핑,자핑,조핑,"
Tit_K_322,곡명,Josh,"Josh,조시"
Nam_R_163,아티스트명,Joshua Bassett,"Joshua Bassett,JoshuaBassett,조슈아 바셋,조슈아바셋"
Nam_R_164,아티스트명,Josie Man,"Josie Man,JosieMan,조시 맨,조시맨"
Tit_K_323,곡명,journey,"journey,져니"
Nam_K_93,아티스트명,Joy Crookes,"Joy Crookes,JoyCrookes,조이 크룩스,조이크룩스"
Nam_R_165,아티스트명,JP Saxe,"JP Saxe,JPSaxe,JP색스,JP색스,JP삭스,JP삭스"
Tit_K_324,곡명,Juice,"Juice,쥬스,주스"
Nam_R_166,아티스트명,Juice WRLD,"Juice WRLD,JuiceWRLD,주스 월드,주스월드,주스 월드,쥬스월드"
Tit_R_432,곡명,JUICY,"JUICY,쥬시,쥬씨"
tag_K_145,태그명,jukebox,"jukebox,주크박스"
Nam_R_167,아티스트명,Julia Michaels,"Julia Michaels,쥴리아 마이클스,줄리아 마이클스"
Tit_R_433,곡명,july,"july,줄라이"
Nam_R_168,아티스트명,Jump,"Jump,점프"
Nam_R_169,아티스트명,Jump AR,"Jump,점프,AR,에이알"
tag_K_146,태그명,JUNGWOO,"JUNGWOO,정우,NCT 127,NCT127,엔씨티 127,엔씨티127,NCT"
Nam_K_95,아티스트명,JUNNY,"JUNNY,주니"
Tit_R_434,곡명,Just,"Just,져스트,저스트"
tag_K_147,태그명,JUSTHIS,"JUSTHIS,저스디스"
tag_K_148,태그명,Justin,"Justin,저스틴"
Tit_K_325,곡명,Justin Bieber,"Justin Bieber,JustinBieber,저스틴 비버,저스틴비버"
Nam_R_170,아티스트명,Justin Timberlake,"Justin Timberlake,JustinTimberlake,저스틴 팀버레이크,저스틴팀버레이크"
Nam_K_96,아티스트명,Jvcki Wai,"Jvcki Wai,JvckiWai,재키 와이,재키와이"
tag_K_149,태그명,JYP,"JYP,제이와이피,박진영"
Nam_R_171,아티스트명,K/DA,"K/DA,케이디에이,KDA"
Nam_R_172,아티스트명,K2,"K2,케이투"
Nam_K_97,아티스트명,Kacey Musgraves,"Kacey Musgraves,KaceyMusgraves,케이시 머스그레이브스,케이시머스그레이브스"
tag_K_150,태그명,KAI,"KAI,카이,EXO,엑소"
Nam_R_173,아티스트명,Kali Uchis,"Kali Uchis,KaliUchis,칼리 우치즈,칼리우치즈"
Nam_K_98,아티스트명,Kane Brown,"Kane Brown,KaneBrown,케인브라운,케인 브라운"
tag_K_151,태그명,Kane Brown,"Kane Brown,KaneBrown,케인 브라운,케인브라운"
tag_K_152,태그명,KANGSEUNGYOON,"KANGSEUNGYOON,강승윤,WINNER,위너"
tag_K_153,태그명,Kara,"Kara,카라"
tag_K_154,태그명,KARD,"KARD,카드"
Tit_K_326,곡명,KARMA,"KARMA,카르마"
Nam_K_99,아티스트명,Karol G,"Karol G,KarolG,카롤 지,카롤지,캐롤 지,캐롤지"
Tit_K_327,곡명,kart,"kart,카트"
Nam_R_174,아티스트명,Kathryn Stott,"Kathryn Stott,KathrynStott,캐서린 스톳,캐서린스톳"
Nam_R_175,아티스트명,KATIE,"KATIE,케이티"
Nam_K_100,아티스트명,Katy Perry,"Katy Perry,KatyPerry,케이티 페리,케이티페리"
Nam_R_176,아티스트명,KAYTRANADA,"KAYTRANADA,케이트라나다"
tag_R_47,태그명,KBO,"KBO,케이비오,프로야구"
Nam_R_177,아티스트명,KCM,"KCM,케이씨엠"
Tit_K_328,곡명,Keeper,"Keeper,키퍼"
Nam_K_101,아티스트명,Kehlani,"Kehlani,켈라니"
tag_K_155,태그명,Kei,"Kei,케이,러블리즈,Lovelyz"
Nam_K_102,아티스트명,Keith Urban,"Keith Urban,KeithUrban,키스 어번,키스어번"
Nam_R_178,아티스트명,Kelly Clarkson,"Kelly Clarkson,KellyClarkson,켈리 클락슨,켈리클락슨"
Tit_K_329,곡명,Kenny,"Kenny,케니"
Nam_R_179,아티스트명,Kenzie,"Kenzie,켄지"
Nam_R_180,아티스트명,Kesha,"Kesha,케샤"
Nam_K_103,아티스트명,keshi,"keshi,케시"
tag_K_156,태그명,KEY,"KEY,키,샤이니,SHINee"
Tit_K_330,곡명,Khaki,"Khaki,카키"
Nam_R_181,아티스트명,Khalid,"Khalid,칼리드"
tag_K_157,태그명,Khundi Panda,"Khundi Panda,KhundiPanda,쿤디 판다,쿤디판다"
tag_K_158,태그명,KIA 타이거즈,"KIA,기아"
Tit_R_435,곡명,kick,"kick,킥"
Nam_R_182,아티스트명,Kid Cudi,"Kid Cudi,KidCudi,키드 커디,키드커디"
Nam_R_183,아티스트명,Kid Milli,"Kid Milli,KidMilli,키드 밀리,키드밀리"
Nam_R_184,아티스트명,Kiddo,"Kiddo,키도"
Tit_R_436,곡명,KIDS,"KIDS,키즈"
Tit_R_437,곡명,Kidult,"Kidult,키덜트"
Nam_K_104,아티스트명,Kiki Dee,"Kiki Dee,KikiDee,키키 디,키키디"
Tit_R_438,곡명,kill,"kill,킬"
Tit_R_439,곡명,KILLA,"KILLA,킬라"
Tit_R_440,곡명,Killer,"Killer,킬러"
tag_K_159,태그명,KIMDONGHYUN,"KIMDONGHYUN,김동현,AB6IX,에이비식스"
Nam_K_105,아티스트명,Kina,"Kina,키나"
Tit_R_441,곡명,kind,"kind,카인드"
tag_K_160,태그명,KINDA BLUE,"KINDA BLUE,KINDABLUE,킨다 블루,킨다블루"
Tit_R_442,곡명,kindness,"kindness,카인드니스"
Nam_R_185,아티스트명,KINGDOM,"KINGDOM,킹덤"
Tit_R_443,곡명,kings,"kings,킹스,킹즈"
Nam_R_186,아티스트명,Kings Of Leon,"Kings Of Leon,KingsOfLeon,킹스 오브 리온,킹스오브리온"
Nam_R_187,아티스트명,Kira Puru,"Kira Puru,KiraPuru,키라 푸루,키라푸루"
Tit_R_444,곡명,kiss,"kiss,키스"
tag_K_161,태그명,KISSXS,"KISSXS,키세스"
Tit_K_331,곡명,kitchen,"kitchen,키친"
Nam_K_106,아티스트명,Kito,"Kito,키토"
Tit_K_332,곡명,KKOIN,"KKOIN,꼬인"
tag_K_162,태그명,KLANG,"KLANG,클랑"
Tit_K_333,곡명,Knight,"Knight,나이트"
Tit_R_445,곡명,KNOCK,"KNOCK,낙,녹,노크,"
Tit_R_446,곡명,know,"know,노"
Tit_R_447,곡명,Ko Ko Bop,"Ko Ko Bop,코코밥"
tag_K_163,태그명,Kona,"Kona,코나"
Tit_K_334,곡명,Kool,"Kool,쿨"
tag_K_164,태그명,KPOP,"KPOP,케이팝"
Nam_R_188,아티스트명,Kriz,"Kriz,크리즈"
tag_K_165,태그명,KSI,"KSI,케이에스아이"
tag_R_123,태그명,KT,"KT,케이티"
tag_K_166,태그명,KT 위즈,"KT,케이티"
Tit_K_335,곡명,Kura Kura,"Kura Kura,KuraKura,쿠라 쿠라,쿠라쿠라"
Nam_R_189,아티스트명,Kygo,"Kygo,카이고"
tag_K_167,태그명,L,"L,엘"
Tit_R_448,곡명,L.I.E,"L.I.E,lie,라이"
Nam_K_107,아티스트명,L.L.A.M.A,"L.L.A.M.A,LLAMA,라마"
Tit_R_449,곡명,la,"la,라"
Tit_R_450,곡명,LA DI DA,"LA DI DA,라디다"
